,No.,Object name,Material,Stained,Surface properties
75,76,angular object ,000010000000000000000000000000,100,00001000000
76,77,histor paint  ,010000000000000000000000000000,100,10000000000
77,78,tea box ,010000000000000000000000000000,100,10000000000
78,79,wooden dog ,000010000000000000000000000000,001,10000000000
79,80,green sponge ,000000000000001000000000000000,100,10000000000
80,81,Travel clock ,010000000000000000000000000000,100,00100000000
81,82,Apple ,001000000000000000000000000000,100,10000000000
82,83,triangle figure ,000010000000000000000000000000,001,10000000000
83,84,grey/white stone ,000000001000000000000000000000,100,00000010000
84,85,Colorful toysquare ,000000010000000000000000000000,100,10000000000
85,86,socks ,100000000000000000000000000000,100,10000000000
86,87,double triangle figure ,000010000000000000000000000000,001,10000000000
87,88,red jar ,000000010000000000000000000000,100,10000000000
88,89,white tube ,000000010000000000000000000000,100,10000000000
89,90,smiling duck ,000000010000000000000000000000,100,00100000000
90,91,colorful stone  ,000000010000000000000000000000,100,10000000000
91,92,autan stick ,000000010000000000000000000000,100,10000000000
92,93,black shoe ,100000010000000100000000000000,001,01000000000
93,94,kitkat bar ,000000000010000000000000000000,100,10000000000
94,95,wooden glue ,000000010010000000000000000000,100,01000000000
95,96,gold wire ,000000010000000100000000000000,001,01100000000
96,97,Thee container ,010000000000000000000000000000,001,00100000000
97,98,Teat ,000000010000000000000000000000,100,10000000000
98,99,Brown/white jar ,010000000110000000000000000000,100,01000000000
99,100,Kleenex tissues ,000000010000000000000000000000,100,10000000000
100,101,Card game ,000000000010000000000000000000,100,10000000000
101,102,Kiwi ,001000000000000000000000000000,001,00000010000
102,103,Ajax ball ,000000010000000000000000000000,100,10000000000
103,104,Metal alarm ,010000010000000000000000000000,100,01100000000
104,105,Blue/black tube ,000000010010000000000000000000,100,10000000000
105,106,Box ,000000010000000000000000000000,100,00100000000
106,107,Party fluit ,000000000010000000000000000000,100,10000000000
107,108,Drums ,000010000000000000000000000000,100,10000000000
108,109,White/black tube ,000000010000000000000000000000,100,10000000000
109,110,Wooden teabox ,000010000000000000000000000000,100,10000000000
110,111,Salt ,000000010000000000000000000000,100,10000000000
111,112,Yellow box ,000000010000000000000000000000,100,10000000000
112,113,White shoe ,100000010000000000000000000000,001,01000000000
113,114,Wooden hand ,000010000000000000000000000000,001,10000000000
114,115,Small chess piece ,000010000000000000000000000000,001,10000000000
115,116,Donkey ,100000000000000000000000000000,100,10000000000
116,117,White/red stone ,000000001000000000000000000000,100,00100000000
117,118,Pinokio ,000010000000000000000000000000,100,00100000000
118,119,White cloth ,100000000000000000000000000000,001,10000000000
119,120,foam ,000000000000000010000000000000,001,00000010000
120,121,blue book ,000000000010000000000000000000,100,10000000000
121,122,silvo spicebox ,000000010010000000000000000000,100,00100000000
122,123,sun perfume  ,010000000100000000000000000000,100,10000000000
123,124,pyralvex  ,010000010010000000000000000000,100,01000000000
124,125,white cup ,000000000100000000000000000000,001,10000000000
125,126,chicken spices ,000000010000000000000000000000,100,10000000000
126,127,yellow can ,000000000100000000000000000000,100,10000000000
127,128,basilica box ,000000010010000000000000000000,100,10000000000
128,129,blue/metal watch ,010000000100000000000000000000,100,01000000000
129,130,orange ring ,000000010000000000000000000000,001,00100000000
130,131,perfume ,010000000100000000000000000000,100,00100000000
131,132,yellow cat ,000010000000000000000000000000,100,00001000000
132,133,curry spices ,000000010000000000000000000000,100,10000000000
133,134,green object ,000000010000000000000000000000,001,10000000000
134,135,toy keys ,000000010000000000000000000000,100,10000000000
135,136,purple car ,010000010000000000000000000000,100,01000000000
136,137,green stick ,000000010000000000000000000000,100,10000000000
137,138,blue car ,000000010000000000000000000000,100,10000000000
138,139,yellow/blue playmobile ,000000010000000000000000000000,100,10000000000
139,140,penguin ,100000010000000000000000000000,100,01000000000
140,141,nail polisher ,000000010110000000000000000000,100,01100000000
141,142,blue/red turtle ,000000010000000000000000000000,100,00100000000
142,143,green/yellow stone ,000000010000000000000000000000,100,10000000000
143,144,green/red box ,010000000000000000000000000000,100,00100000000
144,145,red/blue playmobile ,000000010000000000000000000000,100,10000000000
145,146,pill box ,000000010110000000000000000000,100,00100000000
146,147,brown wallet ,100000010000000000000000000000,100,01000000000
147,148,red car ,010000010000000000000000000000,001,01000000000
148,149,yellow lighter ,010000010000000000000000000000,100,01000000000
149,150,red/white jojo ,000000010000000100000000000000,100,01000000000
150,151,fire truck ,010000010000000000000000000000,100,01000000000
151,152,red/yellow cross  ,000000010000000000000000000000,100,10000000000
152,153,green cup ,000000010000000000000000000000,001,10000000000
153,154,police truck ,010000010000000000000000000000,100,01000000000
154,155,badminton shuttle ,000000010000000001000000000000,100,01000000000
155,156,alarm clock ,010000000100000000000000000000,100,01000000000
156,157,winny the pooh cup ,000000010000000000000000000000,100,10000000000
157,158,green-metallic car ,010000010000000000000000000000,001,01000000000
158,159,horse ,000000010000000000000000000000,100,00100000000
159,160,white car ,010000010000000000000000000000,001,01000000000
160,161,yellow teapot ,000000000100000000000000000000,001,00100000000
161,162,gold/red men ,000000010000000000000000000000,100,00100000000
162,163,keys blue hanger ,010000010000000000000000000000,100,01100000000
163,164,pink ball ,000000010000000000000000000000,100,00000010000
164,165,globe ,000000010000000000000000000000,100,10000000000
165,166,pepper can ,010000000000000000000000000000,001,00100000000
166,167,red car ,010000010000000000000000000000,100,01100000000
167,168,glass tray ,000000010000000000000000000000,100,00100000000
168,169,turkey ,000000010000000000000000000000,100,10000000000
169,170,tree ,000000010000000000000000000000,001,10000000000
170,171,shell ,000000100000000000000000000000,100,10000000000
171,172,shampoo ,000000010010000000000000000000,100,01100000000
172,173,plug ,010000010000000000000000000000,001,01000000000
173,174,white christmas bear ,100000000000000000000000000000,100,10000000000
174,175,eland  ,100000000000000000000000000000,001,10000000000
175,176,red light ,000000010000000000000000000000,001,00010000000
176,177,pink ring ,000000010000000000000000000000,100,00100000000
177,178,white teeth ,010000010000000000000000000000,001,01000000000
178,179,tape ,000000010010000000000000000000,001,01000000000
179,180,radio ,010000010000000000000000000000,001,01100000000
180,181,wooden square ,000010000000000000000000000000,001,00001000000
181,182,wooden triangle ,000010000000000000000000000000,001,00001000000
182,183,half red circle ,000010000000000000000000000000,001,00101000000
183,184,white cotton ,000000000000000000100000000000,001,00000001000
184,185,teeth wire ,000000010000000000000000000000,100,00100000000
185,186,Coin in velvet box ,010000000000000000010000000000,001,00100000000
186,187,toothpaste ,000000010000000000000000000000,100,10000000000
187,188,yellow train ,000000010000000000000000000000,001,00100000000
188,189,brown ashtray ,000010000000000000000000000000,001,10000000000
189,190,shell 3 ,000000100000000000000000000000,100,10000000000
190,191,clothes peg ,010000010000000000000000000000,001,01000000000
191,192,green truck ,010000010000000000000000000000,001,01100000000
192,193,green turtle ,000000010000000000000000000000,001,00100000000
193,194,Spice box ,000000010000000000000000000000,100,00100000000
194,195,Russian doll 1 ,000010000000000000000000000000,100,00100000000
195,196,Russian doll 2 ,000010000000000000000000000000,100,00100000000
196,197,Small russian doll ,000010000000000000000000000000,100,00100000000
197,198,Smalles russian doll ,000010000000000000000000000000,100,00100000000
198,199,Three russian dolls ,000010000000000000000000000000,100,00100000000
199,200,Red/yellow block ,010000000000000000000000000000,100,10000000000
200,201,Frog ,000001000000000000000000000000,100,10000000000
201,202,pig ,100000000000000000000000000000,001,10000000000
202,203,mouse ,100000000000000000000000000000,100,10000000000
203,204,small globe ,010010000000000000000000000000,100,01001000000
204,205,landscape pot ,000001000000000000000000000000,100,00100000000
205,206,beer glass ,000000000100000000000000000000,100,00100000000
206,207,white ashtray ,000001000000000000000000000000,100,10000000000
207,208,alarm clock ,010000000100000000000000000000,100,01100000000
208,209,dog ,000000000100000000000000000000,100,00100000000
209,210,calender ,000000010000000000000000000000,100,10000000000
210,211,froggame ,000000010000000000000000000000,100,10000000000
211,212,batteries ,010000010000000000000000000000,100,01100000000
212,213,pritt glue ,000000010000000000000000000000,100,10000000000
213,214,orange book ,000000010010000000000000000000,001,01000000000
214,215,staple machine ,010000000000000000000000000000,100,00100000000
215,216,yellow/black tape box ,000000000010000000000000000000,100,10000000000
216,217,niceday box ,000000000010000000000000000000,100,10000000000
217,218,plates ,000000010000000000000000000000,100,00000001000
218,219,pickwick teabox ,000000000010000000000000000000,100,00100000000
219,220,toy rings ,000010000000000000000000000000,100,00001000000
220,221,sitting frog ,000001000000000000000000000000,100,00100000000
221,222,top ,000000010000000000000000000000,100,10000000000
222,223,floppies box ,000000000010000000000000000000,100,10000000000
223,224,round box ,000000010000000000000000000000,001,10000000000
224,225,pink shell ,000000100000000000000000000000,100,00000010000
225,226,shell 3 ,000000100000000000000000000000,100,00000010000
226,227,shell with holes ,000000100000000000000000000000,100,10000000000
227,228,shell 4 ,000000100000000000000000000000,100,00000001000
228,229,shell 5 ,000000100000000000000000000000,100,00000010000
229,230,small stone ,000000001000000000000000000000,010,00000010000
230,231,shell 6 ,000000100000000000000000000000,100,00100000000
231,232,red ring ,000000010000000000000000000000,001,10000000000
232,233,toy corn ,000000010000000000000000000000,001,00010000000
233,234,red/white men ,000000010000000000000000000000,100,10000000000
234,235,green box ,000000010000000000000000000000,001,10000000000
235,236,yellow round box ,000000010000000000000000000000,001,10000000000
236,237,pocket knife ,010000000000000000000000000000,100,10000000000
237,238,ice bear ,000001000000000000000000000000,100,00100000000
238,239,teacup ,000001000000000000000000000000,100,00100000000
239,240,camera ,010000000100000000000000000000,100,01100000000
240,241,powerball ,000000010000000000000000000000,100,00100000000
241,242,black object wire ,000000010000000000000000000000,100,10000000000
242,243,white/yellow flowers ,000000000000000000001000000000,100,10000000000
243,244,yellow flower ,000000000000000000001000000000,001,10000000000
244,245,cactus ,000000010000000000001000000000,100,01000000000
245,246,blue/white pot ,000001000000000000000000000000,100,00100000000
246,247,blue/white glass object ,000001000000000000000000000000,100,00100000000
247,248,light brown christmas bear ,100000000000000000000000000000,100,10000000000
248,249,red square box ,000000010000000000000000000000,001,10000000000
249,250,red round box ,000000010000000000000000000000,001,00100000000
250,251,yellow bridge ,000010000000000000000000000000,001,00100000000
251,252,red head ,000000010000000000000000000000,001,00100000000
252,253,sheep ,000000010000000000000000000000,100,10000000000
253,254,carrot ,000000010000000000000000000000,001,10000000000
254,255,"small, red, round box ",000000010000000000000000000000,001,00100000000
255,256,red thing ,000000000000000001000000000000,001,00100000000
256,257,fake lemon1 ,000000010000000000000000000000,001,00000010000
257,258,"white, round box ",010000000000000000000000000000,100,10000000000
258,259,"white, decorated cup ",000001000000000000000000000000,100,00100000000
259,260,weight ,000000000000000000000100000000,001,00100000000
260,261,pill box ,000000010000000000000000000000,100,00100000000
261,262,"white, decorated cup 2 ",000001000000000000000000000000,100,00100000000
262,263,picture frame ,000000010000000000000000000000,100,00000010000
263,264,droste box ,010000000000000000000000000000,100,00100000000
264,265,light weight ,000000000000000000000100000000,001,00100000000
265,266,white/red ball ,000000010000000000000000000000,100,00100000000
266,267,nail brush ,000000010000000100000000000000,001,01100000000
267,268,yellow/green sponge ,000000000000001000000000000000,100,00000010000
268,269,silver box ,010000000000000000000000000000,001,00100000000
269,270,yellow lid ,000000010000000000000000000000,001,00100000000
270,271,yellow bowl ,000001000000000000000000000000,100,00100000000
271,272,brown/striped stick ,000010000000000000000000000000,100,10000000000
272,273,lemon2 ,001000000000000000000000000000,100,10000000000
273,274,chicken candle ,000100000000000000000000000000,100,00100000000
274,275,beige wire ,000000010000000100000000000000,001,01000000000
275,276,bathing lady candle ,000100000000000000000000000000,100,10000000000
276,277,selderie jar ,010000000110000000000000000000,100,01000000000
277,278,brown brush ,000010000000000100000000000000,001,01000010000
278,279,diele box ,010000000000000000000000000000,100,00100000000
279,280,orange bowl ,000000000100000000000000000000,100,00100000000
280,281,garlic 1 ,000000000001000000000000000000,100,10000000000
281,282,driving cow ,000000000100000000000000000000,100,00100000000
282,283,red opener  ,000000010000000000000000000000,001,00100000000
283,284,tiger ,000000010100000000000000000000,100,01100000000
284,285,blue/white house1 ,000001000000000000000000000000,100,00100000000
285,286,nail brush 2 ,000000010000000100000000000000,001,00100000000
286,287,red onion1 ,000000000001000000000000000000,001,01100000000
287,288,green chicken candle ,000100000000000000000000000000,100,00100000000
288,289,sambal oelek ,010000000110000000000000000000,100,01100000000
289,290,lion king cup ,000001000000000000000000000000,100,00100000000
290,291,tennis ball ,100000000000000000000000000000,001,10000000000
291,292,wooden circle ,000010000000000000000000000000,001,00000010000
292,293,hallogeen light ,010000010100000000000000000000,100,01100000000
293,294,white  thing  with handles,000000010000000000000000000000,001,00100000000
294,295,nivea deodorant ,000000010100000000000000000000,100,00100000000
295,296,new wave gel ,000000010000000000000000000000,100,10000000000
296,297,sportlife ,000000000010000000000000000000,100,10000000000
297,298,white/blue house 2 ,000001000000000000000000000000,100,10000000000
298,299,cruesli  ,000010000000000000000000000000,100,10000000000
299,300,metal elephant ,010000000000000000000000000000,001,00100000000
300,301,three bottles ,000000000010000000000000000000,100,00100000000
301,302,dune perfume ,000000000010000000000000000000,100,00100000000
302,303,fahrheit perfume ,000000000010000000000000000000,100,10000000000
303,304,yellow elephant ,000000010000000000000000000000,100,00100000000
304,305,windmill ,000000001000000000000000000000,100,10000000000
305,306,blue/black bulb box ,000000000010000000000000000000,100,10000000000
306,307,blue/white windmill ,000001000000000000000000000000,100,00100000000
307,308,"red, chinese bowl  ",000001000000000000000000000000,100,00100000000
308,309,purple flower ,100000000000000000000000000000,001,00100000000
309,310,paprika powder box ,010000000000000000000000000000,100,00100000000
310,311,green powder box ,010000000000000000000000000000,100,10000000000
311,312,pirate box ,010000000000000000000000000000,100,00100000000
312,313,sitting doll ,100001000000000100000000000000,100,01000000000
313,314,"wooden, round box ",000010000000000000000000000000,100,10000000000
314,315,russian dictionary ,000000000010000000000000000000,100,00001000000
315,316,lipstick box ,010000010000000000000000000000,001,01100000000
316,317,dolphin ,010000010000000000000000000000,001,01100000000
317,318,blue spoon ,000000010000000000000000000000,001,01100000000
318,319,bottle eyedrops ,000000010010000000000000000000,100,01100000000
319,320,square toy ,100000000000000000000000000000,100,10000000000
320,321,three tower box ,000000000010000000000000000000,100,10000000000
321,322,cancer book ,000000000010000000000000000000,100,00100000000
322,323,yellow kleenex tissues ,000000010000000000000000000000,100,10000000000
323,324,red pepper ,000000000001000000000000000000,100,01000000000
324,325,purple candy ,000000010000000000000000000000,100,00100000000
325,326,red bottle ,000000000010000000000000000000,100,10000000000
326,327,chocolate bar ,000000000010000000000000000000,100,10000000000
327,328,Metal open container ,010000000000000000000000000000,001,00100000000
328,329,Shell 7 ,000000100000000000000000000000,100,10000000000
329,330,Blue/white dog ,000001000000000000000000000000,100,00100000000
330,331,Australian glass ,000000000100000000000000000000,100,00100000000
331,332,Flower pot ,000001000000000000000000000000,100,00100000000
332,333,White/brown pig ,000001000000000000000000000000,100,00100000000
333,334,Turtle egg ,000001000000000000000000000000,100,10000000000
334,335,Christmas ball ,110001000000000000000000000000,100,01100000000
335,336,Green perfume ,010001010000000000000000000000,001,01100000000
336,337,Heineken box ,000000010000000000000000000000,100,10000000000
337,338,Brown jar ,000000010110000000000000000000,100,01100000000
338,339,Blue/red car ,000000010000000000000000000000,100,10000000000
339,340,Pink doll ,000000010000000000000000000000,100,10000000000
340,341,Yellow piece ,000000010000000000000000000000,001,10000000000
341,342,Lying women ,010010000000000000000000000000,100,10000000000
342,343,Red/white thing ,000000010000000000000000000000,100,10000000000
343,344,Yellow thing 2 ,000000010000000000000000000000,001,10000000000
344,345,Salt 2 ,000000010000000000000000000000,100,00100000000
345,346,Picture frame baby ,010000010000000000000000000000,100,01100000000
346,347,Picture gertjan ,000000010010000000000000000000,100,01000000000
347,348,White brush ,000000010000000100000000000000,001,01000000000
348,349,Doll in cup ,000000010000000000000000000000,100,10000000000
349,350,Blue girls shoe ,000000010000000000000000000000,001,00100000000
350,351,Glass sticks ,000010010100000000000000000000,100,01100000000
351,352,Red egg ,000000000000000000000010000000,100,10000000000
352,353,Yellow bag ,100000000000000000000000000000,100,10000000000
353,354,Yellow dug ,000000010000000000000000000000,100,10000000000
354,355,Fish decoration ,000001000000000000000000000000,100,00100000000
355,356,red hart ,000000000100000000000000000000,001,00100000000
356,357,cow ,010000010000000000000000000000,100,01000000000
357,358,Pin remover ,010000010000000000000000000000,001,01100000000
358,359,shell 8 ,000000100000000000000000000000,100,10000000000
359,360,shell 9 ,000000100000000000000000000000,100,10000000000
360,361,green wire ,000010000000000100000000000000,001,01000000000
361,362,thank you book ,000000000010000000000000000000,100,10000000000
362,363,eaten apple ,000010000000000000000000000000,100,10000000000
363,364,wooden toy ,000010000000000000000000000000,001,00100000000
364,365,pig ,000010000000000000000000000000,001,10000000000
365,366,Christmas snow bowl ,000000010000000000000000000000,100,00100000000
366,367,wooden book ,000010000000000000000000000000,001,10000000000
367,368,cow kitchen clock ,000000010000000000000000000000,100,10000000000
368,369,bird egg ,000001000000000000000000000000,100,10000000000
369,370,wooden frog ,000010000000000000000000000000,001,00001000000
370,371,yellow sticks ball ,000000010000000000000000000000,100,10000000000
371,372,green sticks ball ,000000010000000000000000000000,001,10000000000
372,373,wooden open hand ,000010000000000000000000000000,001,00001000000
373,374,tipp ex ,000000010000000000000000000000,100,00100000000
374,375,yellow/blue open ball ,000000010000000000000000000000,100,00100000000
375,376,@ ,010000000000000000000000000000,001,00100000000
376,377,white wire ,000000000000000100000000000000,001,10000000000
377,378,orange alarm ,000000010100000000000000000000,100,11000000000
378,379,green stone ,000000010000000000000000000000,001,10000000000
379,380,red pig ,000000010000000000000000000000,001,00100000000
380,381,pink angel ,000001000000000000000000000000,100,00100010000
381,382,red pig (reverse) ,000000010000000000000000000000,001,00100000000
382,383,white tape ,000000010010000000000000000000,001,01000000000
383,384,blue tipp exx ,000000010000000000000000000000,100,00100000000
384,385,chinese jar ,000000010010000000000000000000,100,01100000000
385,386,photo film ,000000010000000000000000000000,100,10000000000
386,387,red knijper ,000000010000000000000000000000,100,00100000000
387,388,yellow wire ,000000000000000100000000000000,001,10000000000
388,389,nail polisher 2 ,000000010100000000000000000000,100,00100000000
389,390,playmobile men ,000000010000000000000000000000,100,00100000000
390,391,party flute ,000000010010000000000000000000,100,01100000000
391,392,white hook ,000000010000000000000000000000,001,10000000000
392,393,orange/blue party flute ,000000010000000000000000000000,100,10000000000
393,394,white/red box ,000000010000000000000000000000,100,10000000000
394,395,UvA opener ,000000010000000000000000000000,100,00000000100
395,396,Blue/white stick ,000000010000000000000000000000,100,10000000000
396,397,Red battery ,010000000000000000000000000000,100,00100000000
397,398,Green battery ,010000000000000000000000000000,100,00100000000
398,399,…. ,000000000000000000000001000000,010,10000000000
399,400,Wooden massage ,000010000000000000000000000000,100,00101000000
400,401,Tealight 2 ,010100000000000000000000000000,001,01000000000
401,402,Light blue box ,000000010000000000000000000000,001,00001000000
402,403,Blue/purple mouse ,010000010000000000000000000000,100,01100000000
403,404,Grey cat ,000001000000000000000000000000,100,00000010000
404,405,Hole maker ,010000000000000000000000000000,100,00100000000
405,406,Snowman ,000100000000000000000000000000,100,00001000000
406,407,Santa claus ,000100000000000000000000000000,100,00001000000
407,408,dice ,000000010000000000000000000000,100,10000000000
408,409,white sheep ,000000010000000000000000100000,100,01000100000
409,410,yellow diving bear ,100000010000000000000000000000,100,01000000000
410,411,yellow airplane ,010000000000000000000000000000,001,00101000000
411,412,"white, plastic cup ",000000010000000000000000000000,001,10000000000
412,413,red sitting bear ,100000000000000000000000000000,100,10000000000
413,414,"brown, plastic cup ",000000010000000000000000000000,001,10000000000
414,415,walking ball ,010000010000000000000000000000,001,01000010000
415,416,"standing, red book ",000000010010000000000000000000,100,01000000000
416,417,wooden clogs ,000010000000000000000000000000,001,00001000000
417,418,stone ,000000001000000000000000000000,100,00001000000
418,419,sand…. ,000000010000000000000000000000,100,10000000000
419,420,Round can ,010000000000000000000000000000,100,10000000000
420,421,Dart arrow ,010000010000000000000000000000,001,01100000000
421,422,Yellow jojo ,000000010000000000000000010000,001,01100000000
422,423,Lying dog ,000001000000000000000000000000,100,00001000000
423,424,Mixed spices ,000000010000000000000000000000,100,10000000000
424,425,Brown brush ,000010000000000100000000000000,001,01000000000
425,426,Bus can ,010000000000000000000000000000,100,00100000000
426,427,Glass pig ,000001000000000000000000000000,001,00100000000
427,428,Yellow nail brush ,000000010000000100000000000000,001,01100000000
428,429,Yellow surprise box ,000000010000000000000000000000,001,10000000000
429,430,Brown bandage box ,010000000000000000000000000000,100,00100000000
430,431,Green bandage box ,010000000000000000000000000000,100,00100000000
431,432,White tape ,010000000010000000000000000000,100,00100000000
432,433,Blue bandage box ,010000000000000000000000000000,100,00100000000
433,434,jam jar ,010000000100000000000000000000,100,01000000000
434,435,white marker ,000000010000000000000000000000,001,10000000000
435,436,yellow marker ,000000010000000000000000000000,100,10000000000
436,437,four vikings ,000000010000000000000000000000,100,00000100000
437,438,green soap box ,000000010000000000000000000000,100,10000000000
438,439,green  marker ,000000010000000000000000000000,100,10000000000
439,440,sitting bear ,100010000000000000000000000000,100,01000000000
440,441,….. ,000000000000000000000001000000,010,10000000000
441,442,old green book ,000000000010000000000000000000,100,10000000000
442,443,kangaroo ,100000010000000000000000000000,100,01000000000
443,444,white tennisball ,100000000000000000000000000000,100,10000000000
444,445,bike repair ,010000000000000000000000001000,100,01000000000
445,446,orange ,001000000000000000000000000000,001,10000000000
446,447,Fievel mouse cup ,000001000000000000000000000000,100,00100000000
447,448,Cigarette package ,000000000010000000000000000000,100,10000000000
448,449,Lighter ,010000010000000000000000000000,100,01100000000
449,450,Big smurf ,000000010000000000000000000000,100,00100000000
450,451,Pass photo ,000000000010000000000000000000,100,10000000000
451,452,pinbox ,010000010000000000000000000000,100,01000000000
452,453,white hole maker ,010000000000000000000000000000,001,00100000000
453,454,liga snack ,000000010000000000000000000000,100,10000000000
454,455,coca-cola ,010000000000000000000000000000,100,00100000000
455,456,pulling on beach ,000000000010000000000000000000,100,10000000000
456,457,computer mouse  ,010000010000000000000000000000,100,01100000000
457,458,dark green paper ,000000000010000000000000000000,100,10000000000
458,459,pink pig ,000000010000000000000000000000,001,00100000000
459,460,calculator  ,000000010000000000000000000000,100,00100000000
460,461,toilet paper ,000000000010000000000000000000,001,10000000000
461,462,red toy ring ,000000010000000000000000000000,001,00100000000
462,463,tooth paste ,000000010000000000000000000000,100,10000000000
463,464,heida yoghurt ,000000010000000000000000000000,100,10000000000
464,465,yellow pills ,010000010000000000000000000000,001,01000000000
465,466,blue marker ,010000010000000000000000000000,100,01000000000
466,467,nice day box ,000000000010000000000000000000,100,10000000000
467,468,yellow post-it ,000000000010000000000000000000,001,10000000000
468,469,white pills ,000000010000000000000000000000,001,10000000000
469,470,orange spoon ,010000010000000000000000000000,001,01100000000
470,471,glitter hanger ,010000010000000000000000000000,100,01100000000
471,472,small post-it ,000000000010000000000000000000,001,10000000000
472,473,euro-shopper tissues ,000000010000000000000000000000,100,10000000000
473,474,lying salt ,000000010000000000000000000000,100,00100000000
474,475,red marker ,000000010000000000000000000000,100,10000000000
475,476,green marker ,000000010000000000000000000000,100,10000000000
476,477,white marker ,010000010000000000000000000000,100,01100000000
477,478,colorful necless ,000000001000000000000000000000,100,10000000000
478,479,chocolate donut ,000000000000000000000010000000,100,10000000000
479,480,eaten chocolate donut ,000000000000000000000010000000,100,10000000000
480,481,small gel ,000000010000000000000000000000,100,00100000000
481,482,blue car ,000000010000000000000000000000,100,00100000000
482,483,mp3  ,010000010000000000000000000000,100,01100000000
